,Record ID,Number of Strikes,Collision Month,Collision Day,Collision Year,Collision Time,Aircraft: Type,Aircraft: Number of engines,Airport: Code,Airport: Name,Origin State Code,When: Phase of flight,Feet above ground,Miles from airport,Wildlife: Animal Category,Wildlife: Species,Effect: Amount of damage (detailed),Effect: Impact to flight,Cost: Aircraft time out of service (hours),Cost: Total $
0,17459,1,9,20,2012,19:30,,,AAF,APALACHICOLA REGIONAL ARPT,FL,Take-off run,0.0,,Terrestrial Mammals,Domestic dog,None,None,,0
1,17114,1,4,23,2013,17:09,Airplane,1.0,AAF,APALACHICOLA REGIONAL ARPT,FL,Take-off run,,,Birds,"Herons, egrets, bitterns",None,None,,0
2,259361,1,4,23,2009,9:22,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,American kestrel,Medium,Aborted Take-off,720.0,171132
3,345167,1,4,13,2014,22:00,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,,,Birds,Mourning dove,None,None,15.0,600
4,262782,1,3,31,2009,18:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Approach,,0.0,Birds,Red-tailed hawk,Medium,None,12.0,188245
5,208167,1,3,19,2002,9:09,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Gulls,None,Aborted Take-off,1.0,0
6,344633,1,4,10,2014,18:15,Airplane,3.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Red-tailed hawk,None,None,1.0,0
7,4255,1,8,26,2002,13:05,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,American crow,None,Aborted Take-off,0.0,0
8,9581,1,8,10,2005,18:05,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,0.0,0
9,1761,1,9,14,2000,14:40,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Climb,300.0,,Birds,Red-tailed hawk,None,Precautionary Landing,0.0,0
10,9677,1,10,11,2005,0:30,Airplane,,ABE,LEHIGH VALLEY INTL,PA,Approach,2000.0,,Birds,Perching birds (y),None,None,0.0,0
11,351420,1,8,26,2014,11:15,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Bobolink,None,None,,0
12,347040,1,6,12,2014,8:45,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Brown-headed cowbird,None,None,,0
13,305861,1,8,25,2010,6:46,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Mourning dove,None,None,,0
14,316029,1,9,5,2011,10:05,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Mourning dove,None,None,,0
15,328589,1,10,20,2012,9:00,Airplane,1.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,0
16,301389,1,2,18,2010,9:18,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Horned lark,None,None,,0
17,300426,1,3,4,2010,8:45,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Horned lark,None,None,,0
18,309063,1,11,11,2010,8:31,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Horned lark,None,None,,0
19,356142,1,11,27,2014,9:33,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,0
20,357563,1,1,24,2015,9:45,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,0
21,357822,1,2,8,2015,0:10,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,Horned lark,None,None,,0
22,265792,1,10,28,2009,9:08,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Take-off run,0.0,0.0,Birds,American golden-plover,Medium,Precautionary Landing,,0
23,325442,1,7,29,2012,11:48,Airplane,2.0,ABE,LEHIGH VALLEY INTL,PA,Landing Roll,0.0,0.0,Birds,Killdeer,None,None,,0
