,State,Gender,Year,TopName,Occurences,Bible
0,AK,F,1910,Mary,14,True
1,AK,F,1911,Mary,12,True
2,AK,F,1912,Mary,9,True
3,AK,F,1913,Mary,21,True
4,AK,F,1914,Mary,22,True
5,AK,F,1915,Mary,23,True
6,AK,F,1916,Mary,18,True
7,AK,F,1917,Mary,21,True
8,AK,F,1918,Mary,27,True
9,AK,F,1919,Mary,22,True
10,AK,F,1920,Mary,38,True
11,AK,F,1921,Mary,36,True
12,AK,F,1922,Mary,29,True
13,AK,F,1923,Mary,26,True
14,AK,F,1924,Mary,41,True
15,AK,F,1925,Mary,24,True
16,AK,F,1926,Mary,39,True
17,AK,F,1927,Mary,30,True
18,AK,F,1928,Mary,27,True
19,AK,F,1929,Mary,25,True
20,AK,F,1930,Mary,35,True
21,AK,F,1931,Mary,41,True
22,AK,F,1932,Mary,26,True
23,AK,F,1933,Mary,25,True
24,AK,F,1934,Mary,31,True
25,AK,F,1935,Mary,29,True
26,AK,F,1936,Mary,33,True
27,AK,F,1937,Mary,41,True
28,AK,F,1938,Mary,37,True
29,AK,F,1939,Mary,28,True
30,AK,F,1940,Mary,43,True
31,AK,F,1941,Mary,40,True
32,AK,F,1942,Mary,43,True
33,AK,F,1943,Mary,47,True
34,AK,F,1944,Mary,42,True
35,AK,F,1945,Mary,47,True
36,AK,F,1946,Mary,47,True
37,AK,F,1947,Mary,63,True
38,AK,F,1948,Mary,71,True
39,AK,F,1949,Mary,79,True
40,AK,F,1950,Mary,71,True
47,AK,F,1957,Mary,99,True
48,AK,F,1958,Mary,84,True
49,AK,F,1959,Mary,61,True
50,AK,F,1960,Mary,78,True
51,AK,F,1961,Mary,80,True
52,AK,F,1962,Mary,86,True
53,AK,F,1963,Mary,78,True
54,AK,F,1964,Mary,84,True
56,AK,F,1966,Mary,67,True
87,AK,F,1997,Hannah,67,True
90,AK,F,2000,Hannah,58,True
93,AK,F,2003,Hannah,56,True
103,AK,M,1910,John,8,True
104,AK,M,1911,John,15,True
105,AK,M,1912,John,16,True
106,AK,M,1913,John,19,True
107,AK,M,1914,John,17,True
108,AK,M,1915,John,21,True
109,AK,M,1916,John,25,True
110,AK,M,1917,John,26,True
111,AK,M,1918,John,23,True
112,AK,M,1919,John,24,True
113,AK,M,1920,John,21,True
114,AK,M,1921,John,35,True
116,AK,M,1923,John,27,True
117,AK,M,1924,John,36,True
118,AK,M,1925,John,32,True
119,AK,M,1926,John,26,True
